,Category,File name,Path
384,hungry,F3BAEDDA-CDC0-4A65-90EE-5C372CEE4F3B-1437012059-1.1-m-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\F3BAEDDA-CDC0-4A65-90EE-5C372CEE4F3B-1437012059-1.1-m-26-hu.wav
403,hungry,FAE74A94-9968-43ED-958C-50D7C4C1F13C-1430770871-1.0-f-22-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\FAE74A94-9968-43ED-958C-50D7C4C1F13C-1430770871-1.0-f-22-hu.wav
134,hungry,4be720ce-a5e5-4a48-930f-a212f8a239f6-1434737668804-1.7-f-48-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\4be720ce-a5e5-4a48-930f-a212f8a239f6-1434737668804-1.7-f-48-hu.wav
312,hungry,bb2bdafb-0477-4be4-8c41-1a6192e8c6d4-1430637663087-1.7-m-72-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\bb2bdafb-0477-4be4-8c41-1a6192e8c6d4-1430637663087-1.7-m-72-hu.wav
124,hungry,40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477717469-1.7-f-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477717469-1.7-f-26-hu.wav
125,hungry,40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477726097-1.7-f-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477726097-1.7-f-26-hu.wav
219,hungry,815af07e-4c31-4032-8bd1-dab6e60c879e-1433156413683-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\815af07e-4c31-4032-8bd1-dab6e60c879e-1433156413683-1.7-m-04-hu.wav
158,hungry,5728DDD6-149B-412F-A14B-C29B9B5E415F-1432635069-1.0-m-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\5728DDD6-149B-412F-A14B-C29B9B5E415F-1432635069-1.0-m-26-hu.wav
224,hungry,86c2b87a-ae7c-46a3-b6fb-7ebe748812cf-1430036547966-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\86c2b87a-ae7c-46a3-b6fb-7ebe748812cf-1430036547966-1.7-m-04-hu.wav
324,hungry,c6fd9d60-0fa7-44c0-b3ce-0192527d7b81-1429978271017-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\c6fd9d60-0fa7-44c0-b3ce-0192527d7b81-1429978271017-1.7-m-04-hu.wav
