,Category,File name,Path,mfcc mean,duration,rmsmean,rmsstd,zcr_mean,zcr_std,f0_mean,f0_std
0,hungry,F3BAEDDA-CDC0-4A65-90EE-5C372CEE4F3B-1437012059-1.1-m-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\F3BAEDDA-CDC0-4A65-90EE-5C372CEE4F3B-1437012059-1.1-m-26-hu.wav,-16.615408,7.0,0.08337027579545975,0.06638790667057037,0.29578746448863635,0.147381539688637,195.2971673089331,62.48121402341162
1,hungry,FAE74A94-9968-43ED-958C-50D7C4C1F13C-1430770871-1.0-f-22-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\FAE74A94-9968-43ED-958C-50D7C4C1F13C-1430770871-1.0-f-22-hu.wav,-31.312334,7.0,0.07913956791162491,0.0829027071595192,0.1538973721590909,0.06332899086484131,209.24274429399586,42.14212770272896
2,hungry,4be720ce-a5e5-4a48-930f-a212f8a239f6-1434737668804-1.7-f-48-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\4be720ce-a5e5-4a48-930f-a212f8a239f6-1434737668804-1.7-f-48-hu.wav,-34.928104,6.78,0.00841466523706913,0.015641164034605026,0.21482993071933962,0.05809371759437135,170.45177750972005,77.42789584622167
3,hungry,bb2bdafb-0477-4be4-8c41-1a6192e8c6d4-1430637663087-1.7-m-72-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\bb2bdafb-0477-4be4-8c41-1a6192e8c6d4-1430637663087-1.7-m-72-hu.wav,-20.991009,6.66,0.06930455565452576,0.06253181397914886,0.1969215029761905,0.08593876624054249,189.3749752881334,62.1162180394682
4,hungry,40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477717469-1.7-f-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477717469-1.7-f-26-hu.wav,-10.746532,7.06,0.24973085522651672,0.14032025635242462,0.47191283079954954,0.22923436688875878,175.0130131372836,64.81633208472742
5,hungry,40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477726097-1.7-f-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477726097-1.7-f-26-hu.wav,-12.339449,7.06,0.2447967380285263,0.1160498857498169,0.46274985923423423,0.23305665714414248,203.04244187733696,70.81676626024553
6,hungry,815af07e-4c31-4032-8bd1-dab6e60c879e-1433156413683-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\815af07e-4c31-4032-8bd1-dab6e60c879e-1433156413683-1.7-m-04-hu.wav,-23.00657,6.94,0.14473991096019745,0.10297566652297974,0.41537503583715596,0.1262960993163824,203.47023253095782,64.07267958882109
7,hungry,5728DDD6-149B-412F-A14B-C29B9B5E415F-1432635069-1.0-m-26-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\5728DDD6-149B-412F-A14B-C29B9B5E415F-1432635069-1.0-m-26-hu.wav,-20.295206,7.0,0.060381148010492325,0.04773303121328354,0.22842240767045455,0.04274219633233039,195.4063408765926,61.67379786122194
8,hungry,86c2b87a-ae7c-46a3-b6fb-7ebe748812cf-1430036547966-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\86c2b87a-ae7c-46a3-b6fb-7ebe748812cf-1430036547966-1.7-m-04-hu.wav,-13.153086,7.04,0.045445263385772705,0.0271966103464365,0.18889446086711711,0.10210770619580004,136.24988873340652,74.65402088605425
9,hungry,c6fd9d60-0fa7-44c0-b3ce-0192527d7b81-1429978271017-1.7-m-04-hu.wav,C:\Users\Lenovo\Desktop\Mindcloud\Final project\ML model\initial\hungry\c6fd9d60-0fa7-44c0-b3ce-0192527d7b81-1429978271017-1.7-m-04-hu.wav,-22.452406,6.78,0.05710873007774353,0.07325956970453262,0.1577056308962264,0.07881162186473337,192.3524922777122,71.74420084314488
